SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SATECH,S A Tech Software India Limited,ST,02-Aug-24,10,INE0BSN01013,10,
ESPRIT,Esprit Stones Limited,SM,02-Aug-24,10,INE0SBP01018,10,
APRAMEYA,Aprameya Engineering Limited,SM,01-Aug-24,10,INE0LQG01010,10,
TROM,Trom Industries Limited,ST,01-Aug-24,10,INE0SYV01018,10,
CHETANA,Chetana Education Limited,ST,31-Jul-24,10,INE0U1T01012,10,
MIEL,Manglam Infra & Engineering Limited,SM,31-Jul-24,10,INE0R3101011,10,
VLINFRA,V.L.Infraprojects Limited,ST,30-Jul-24,10,INE0QXL01015,10,
RNFI,RNFI Services Limited,SM,29-Jul-24,10,INE0SA001017,10,
KATARIA,Kataria Industries Limited,SM,24-Jul-24,10,INE0SVY01018,10,
MACOBSTECH,Macobs Technologies Limited,SM,24-Jul-24,10,INE0R0J01010,10,
TUNWAL,Tunwal E-Motors Limited,SM,23-Jul-24,2,INE0OXV01027,2,
SATIPOLY,Sati Poly Plast Limited,SM,22-Jul-24,10,INE0RPM01017,10,
PRIZOR,Prizor Viztech Limited,ST,22-Jul-24,10,INE0V9N01017,10,
SAHAJSOLAR,Sahaj Solar Limited,SM,19-Jul-24,10,INE0P4701011,10,
GGBL,Ganesh Green Bharat Limited,SM,12-Jul-24,10,INE0R8C01018,10,
EFFWA,Effwa Infra & Research Limited,SM,12-Jul-24,10,INE0U9101019,10,
AMBEY,Ambey Laboratories Limited,ST,11-Jul-24,10,INE0M3I01029,10,
NEPHROCARE,Nephro Care India Limited,SM,05-Jul-24,10,INE0SUN01013,10,
DTL,Diensten Tech Limited,SM,03-Jul-24,10,INE0JRD01019,10,
DPEL,Divine Power Energy Limited,SM,02-Jul-24,10,INE0SCO01019,10,
PCCL,Petro Carbon and Chemicals Limited,SM,02-Jul-24,10,INE998U01015,10,
AKIKO,Akiko Global Services Limited,ST,02-Jul-24,10,INE0PMR01017,10,
MASON,Mason Infratech Limited,SM,01-Jul-24,10,INE0SH001010,10,
SYLVANPLY,Sylvan Plyboard (India) Limited,SM,01-Jul-24,10,INE01IH01015,10,
SPCL,Shivalic Power Control Limited,SM,01-Jul-24,10,INE0T7B01010,10,
VISAMAN,Visaman Global Sales Limited,ST,01-Jul-24,10,INE0BHK01012,10,
MEDIORG,Medicamen Organics Limited,SM,28-Jun-24,10,INE0PE401018,10,
WINNY,Winny Immigration & Education Services Limited,SM,27-Jun-24,10,INE0S9101013,10,
FALCONTECH,Falcon Technoprojects India Limited,SM,26-Jun-24,10,INE0PQK01013,10,
DURLAX,Durlax Top Surface Limited,ST,26-Jun-24,10,INE0OUW01013,10,
GPECO,GP Eco Solutions India Limited,SM,24-Jun-24,10,INE0S7E01015,10,
TBI,TBI Corn Limited,SM,07-Jun-24,10,INE0N2D01013,10,
AIMTRON,Aimtron Electronics Limited,SM,06-Jun-24,10,INE0RUV01018,10,
ZTECH,Z-Tech (India) Limited,SM,05-Jun-24,10,INE0ISZ01012,10,
BEACON,Beacon Trusteeship Limited,SM,04-Jun-24,10,INE639X01027,10,
VILAS,Vilas Transcore Limited,SM,03-Jun-24,10,INE0AZY01017,10,
GSMFOILS,GSM Foils Limited,SM,31-May-24,10,INE0SQY01018,10,
HOACFOODS,Hoac Foods India Limited,SM,24-May-24,10,INE0S6S01017,10,
RULKA,Rulka Electricals Limited,SM,24-May-24,10,INE0R7301013,10,
QUESTLAB,Quest Laboratories Limited,ST,23-May-24,10,INE0TNW01017,10,
IEML,Indian Emulsifiers Limited,SM,22-May-24,10,INE0RRU01016,10,
MANDEEP,Mandeep Auto Industries Limited,SM,21-May-24,10,INE0R3T01013,10,
VERITAAS,Veritaas Advertising Limited,SM,21-May-24,10,INE0SRI01019,10,
ABSMARINE,ABS Marine Services Limited,SM,21-May-24,10,INE0QRV01016,10,
PRLIND,Premier Roadlines Limited,SM,17-May-24,10,INE0CFG01012,10,
EMMIL,Energy Mission Machineries (India) Limited,SM,16-May-24,10,INE0S1L01013,10,
SILKFLEX,Silkflex Polymers (India) Limited,ST,15-May-24,10,INE0STN01015,10,
REFRACTORY,Refractory Shapes Limited,SM,14-May-24,10,INE0TNX01015,10,
WINSOL,Winsol Engineers Limited,SM,14-May-24,10,INE0S3D01016,10,
SLONE,Slone Infosystems Limited,SM,10-May-24,10,INE0SMA01017,10,
RBS,Ramdevbaba Solvent Limited,ST,23-Apr-24,10,INE0RJH01010,10,
BIRDYS,Grill Splendour Services Limited,ST,23-Apr-24,10,INE0PC901019,10,
DCG,DCG Cables & Wires Limited,SM,16-Apr-24,10,INE0S8401018,10,
TGL,Teerth Gopicon Limited,ST,16-Apr-24,10,INE0K6601012,10,
DRSCARGO,DRS Cargo Movers Limited,SM,10-Apr-24,10,INE0QZM01018,10,
ALUWIND,ALUWIND INFRA-TECH LIMITED,SM,09-Apr-24,10,INE0STM01017,10,
CGRAPHICS,Creative Graphics Solutions India Limited,SM,09-Apr-24,10,INE0R7401011,10,
K2INFRA,K2 Infragen Limited,SM,08-Apr-24,10,INE0DEZ01013,10,
YASHOPTICS,Yash Optics & Lens Limited,SM,08-Apr-24,10,INE0TO601017,10,
TAC,TAC Infosec Limited,SM,05-Apr-24,10,INE0SOY01013,10,
RADIOWALLA,Radiowalla Network Limited,SM,05-Apr-24,10,INE430U01019,10,
TRUST,Trust Fintech Limited,SM,04-Apr-24,10,INE0SWN01019,10,
ASPIRE,Aspire & Innovative Advertising Limited,SM,03-Apr-24,10,INE0S7801010,10,
BLUEPEBBLE,Blue Pebble Limited,ST,03-Apr-24,10,INE0SAK01011,10,
NAMAN,Naman Industries Proxima Limited,SM,02-Apr-24,10,INE0RJM01010,10,
VISHWAS,Vishwas Agri Seeds Limited,SM,01-Apr-24,10,INE0S2E01016,10,
ENSER,Enser Communications Limited,ST,22-Mar-24,2,INE0R9I01021,2,
ENFUSE,Enfuse Solutions Limited,SM,22-Mar-24,10,INE0S3X01014,10,
AVPINFRA,AVP Infracon Limited,SM,20-Mar-24,10,INE0R9401019,10,
SIGNORIA,Signoria Creation Limited,SM,19-Mar-24,10,INE0RDE01010,10,
PRATHAM,Pratham EPC Projects Limited,SM,18-Mar-24,10,INE0QA601016,10,
SHREEKARNI,Shree Karni Fabcom Limited,SM,14-Mar-24,10,INE0S4Y01010,10,
SONAMAC,Sona Machinery Limited,ST,13-Mar-24,10,INE0Q6H01012,10,
VR,V R Infraspace Limited,SM,12-Mar-24,10,INE0QQM01017,10,
MVKAGRO,M.V.K. Agro Food Product Limited,SM,07-Mar-24,10,INE0SGC01015,10,
PURVFLEXI,Purv Flexipack Limited,ST,05-Mar-24,10,INE0R6C01012,10,
OWAIS,Owais Metal And Mineral Processing Limited,SM,04-Mar-24,10,INE0R8M01017,10,
SADHAV,Sadhav Shipping Limited,SM,01-Mar-24,10,INE0K5H01010,10,
DEEM,Deem Roll Tech Limited,SM,27-Feb-24,10,INE586O01011,10,
ZENITHDRUG,Zenith Drugs Limited,SM,27-Feb-24,10,INE0QWN01013,10,
ATMASTCO,Atmastco Limited,ST,23-Feb-24,10,INE05DH01017,10,
TCL,Thaai Casting Limited,SM,23-Feb-24,10,INE0QJL01014,10,
ESCONET,Esconet Technologies Limited,ST,23-Feb-24,10,INE0RQZ01017,10,
INM,Interiors & More Limited,SM,23-Feb-24,10,INE0OPC01015,10,
WTICAB,Wise Travel India Limited,SM,19-Feb-24,10,INE623Y01011,10,
POLYSIL,Polysil Irrigation Systems Limited,ST,16-Feb-24,10,INE517M01028,10,
ALPEXSOLAR,Alpex Solar Limited,SM,15-Feb-24,10,INE0R4701017,10,
ITALIANE,Italian Edibles Limited,ST,12-Feb-24,10,INE0R7R01018,10,
BAWEJA,Baweja Studios Limited,SM,06-Feb-24,10,INE0JFJ01011,10,
