SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
BSLIFQPIDG,Aditya Birla SL MF AB SL - IIF- Qtrly Plan - Series I - Direct - G,MF,28-MAR-2013,10,1,INF209K01YQ3,10
BSLIQPIIDP, Aditya Birla SL Int. IF - QP - SI - IPDP,MF,01-APR-2011,10,1,INF209K01HR6,10
BSLIQPIRDP, Aditya Birla SL Int. IF - QP - SI - RPDP,MF,01-APR-2011,10,1,INF209K01HO3,10
BSLIQPIRG, Aditya Birla SL Int. IF - QP - SI - RPG,MF,01-APR-2011,10,1,INF209K01HN5,10
DPGOP,IL&FS Infra Mutual Fund - IL&FS Infrastructure Debt Fund Series 3 Plan,MF,,10,1,INF613Q01108,10
FICRF3DP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser RG,MF,24-MAR-2020,1,1,INF090I01VW5,1
FICRF3GP,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se RDP,MF,24-MAR-2020,1,1,INF090I01VX3,1
FICRFD3DPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Se DDP,MF,24-MAR-2020,1,1,INF090I01VY1,1
FICRFD3GPD,Franklin Templeton Mutual Fund - FICRF - Segregated Portfolio 3 Ser DG,MF,24-MAR-2020,1,1,INF090I01VZ8,1
FISTIP3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RDG,MF,24-MAR-2020,1,1,INF090I01VN4,1
FISTIP3MDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDWDP,MF,24-MAR-2020,1,1,INF090I01VP9,1
FISTIP3QDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDMDP,MF,24-MAR-2020,1,1,INF090I01VO2,1
FISTIP3WDP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RDQDP,MF,24-MAR-2020,1,1,INF090I01VQ7,1
FISTIPD3GP,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser IRG,MF,24-MAR-2020,1,1,INF090I01VS3,1
FISTIPD3MD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 Ser RRG,MF,24-MAR-2020,1,1,INF090I01VU9,1
FISTIPD3QD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRMDP,MF,24-MAR-2020,1,1,INF090I01VT1,1
FISTIPD3WD,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRWDP,MF,24-MAR-2020,1,1,INF090I01VV7,1
FISTIPIP3G,Franklin Templeton Mutual Fund - FISTIP-Segregated Portfolio 3 S RRQDP,MF,24-MAR-2020,1,1,INF090I01VR5,1
H1861D46DD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPN - IDCW,MF,16-MAR-2022,10,1,INF179KC1CD5,10
H1861D46DG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DP - G,MF,16-MAR-2022,10,1,INF179KC1CC7,10
H1861D46DQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - DPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CE3,10
H1861D46RD,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - IDCW,MF,16-MAR-2022,10,1,INF179KC1CG8,10
H1861D46RG,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RP - G,MF,16-MAR-2022,10,1,INF179KC1CF0,10
H1861D46RQ,HDFC Mutual Fund - HDFC FMP 1861D March 2022 - Series 46 - RPQ - IDCW,MF,16-MAR-2022,10,1,INF179KC1CH6,10
H187646RG,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - RO - G,MF,05-APR-2022,10,1,INF179KC1CR5,10
H1876D46DD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DON - IDCW,MF,05-APR-2022,10,1,INF179KC1CP9,10
H1876D46DG,HDFC Mutual Fund - HDFC FMP -Series 46-Plan 3-DO-G,MF,05-APR-2022,10,1,INF179KC1CO2,10
H1876D46DQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - DOQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CQ7,10
H1876D46RD,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 2 - RON - IDCW,MF,05-APR-2022,10,1,INF179KC1CS3,10
H1876D46RQ,HDFC Mutual Fund - HDFC FMP - Series 46 Plan 3 - ROQ - IDCW,MF,05-APR-2022,10,1,INF179KC1CT1,10
